bone	bone_rest_x_global_origin_in_meters	bone_rest_y_global_origin_in_meters	bone_rest_z_global_origin_in_meters	bone_rest_truncated_normalized_basis_axis_x_0	bone_rest_truncated_normalized_basis_axis_x_1	bone_rest_truncated_normalized_basis_axis_x_2	bone_rest_truncated_normalized_basis_axis_y_0	bone_rest_truncated_normalized_basis_axis_y_1	bone_rest_truncated_normalized_basis_axis_y_2	bone_rest_x_global_scale_in_meters	bone_rest_y_global_scale_in_meters	bone_rest_z_global_scale_in_meters	bone_x_global_origin_in_meters	bone_y_global_origin_in_meters	bone_z_global_origin_in_meters	bone_truncated_normalized_basis_axis_x_0	bone_truncated_normalized_basis_axis_x_1	bone_truncated_normalized_basis_axis_x_2	bone_truncated_normalized_basis_axis_y_0	bone_truncated_normalized_basis_axis_y_1	bone_truncated_normalized_basis_axis_y_2	bone_x_global_scale_in_meters	bone_y_global_scale_in_meters	bone_z_global_scale_in_meters	bone_parent_x_global_origin_in_meters	bone_parent_y_global_origin_in_meters	bone_parent_z_global_origin_in_meters	bone_parent_truncated_normalized_basis_axis_x_0	bone_parent_truncated_normalized_basis_axis_x_1	bone_parent_truncated_normalized_basis_axis_x_2	bone_parent_truncated_normalized_basis_axis_y_0	bone_parent_truncated_normalized_basis_axis_y_1	bone_parent_truncated_normalized_basis_axis_y_2	bone_parent_x_global_scale_in_meters	bone_parent_y_global_scale_in_meters	bone_parent_z_global_scale_in_meters	bone_hierarchy	specification_version	label
Hips	0.00000000011084	0.00000000011084	0.00000000011084	-1	0	0.00000008742278	0	1	0	1	1	1	0.00000000011084	1.04137086868286	-0.04776191711426	1	0	0	0	1	0	1	1	1	0.00000000011084	1.04137086868286	-0.04776191711426	1	0	0	0	1	0	1	1	1	Hips LeftSkirt02 LeftSkirt03 LeftUpLeg LeftLeg LeftFoot LeftToe LeftSkirt01 ribbon04_L ribbon04_R RightSkirt02 RightSkirt03 RightUpLeg RightLeg RightFoot RightToe RightSkirt01 Spine Chest LeftBust LeftShoulder LeftArm LeftForeArm LeftHand LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 LeftHandRing1 LeftHandRing2 LeftHandRing3 LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 LeftLowerArmTwist01 LeftLowerArmTwist02 ribbon03_L Neck Head Eye.L Eye.R hair01_L hair01_R hair02_L hair02_R hair03_L hair03_R ribbon02_L ribbon02_R Tongue01 Tongue02 Tongue03 RightBust RightShoulder RightArm ribbon03_R RightForeArm RightHand RightHandIndex1 RightHandIndex2 RightHandIndex3 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 RightHandPinky1 RightHandPinky2 RightHandPinky3 RightHandRing1 RightHandRing2 RightHandRing3 RightHandThumb1 RightHandThumb2 RightHandThumb3 RightLowerArmTwist01 RightLowerArmTwist02 ribbon00_L ribbon00_R ribbon01_L ribbon01_R 		hips
LeftSkirt02	-0.12195882201195	-0.12195882201195	-0.12195882201195	1	0	0	0	1	0	1	1	1	-0.12195882201195	1.02885496616364	-0.02797317504883	1	0	0	0	1	0	1	1	1	-0.12195882201195	1.02885496616364	-0.02797317504883	1	0	0	0	1	0	1	1	1	Hips LeftSkirt02 LeftSkirt03 LeftUpLeg LeftLeg LeftFoot LeftToe LeftSkirt01 ribbon04_L ribbon04_R RightSkirt02 RightSkirt03 RightUpLeg RightLeg RightFoot RightToe RightSkirt01 Spine Chest LeftBust LeftShoulder LeftArm LeftForeArm LeftHand LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 LeftHandRing1 LeftHandRing2 LeftHandRing3 LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 LeftLowerArmTwist01 LeftLowerArmTwist02 ribbon03_L Neck Head Eye.L Eye.R hair01_L hair01_R hair02_L hair02_R hair03_L hair03_R ribbon02_L ribbon02_R Tongue01 Tongue02 Tongue03 RightBust RightShoulder RightArm ribbon03_R RightForeArm RightHand RightHandIndex1 RightHandIndex2 RightHandIndex3 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 RightHandPinky1 RightHandPinky2 RightHandPinky3 RightHandRing1 RightHandRing2 RightHandRing3 RightHandThumb1 RightHandThumb2 RightHandThumb3 RightLowerArmTwist01 RightLowerArmTwist02 ribbon00_L ribbon00_R ribbon01_L ribbon01_R 		hips
LeftSkirt03	-0.04811492562294	-0.04811492562294	-0.04811492562294	1	0	0	0	1	0	1	1	1	-0.04811492562294	1.01759076118469	0.0554438829422	1	0	0	0	1	0	1	1	1	-0.04811492562294	1.01759076118469	0.0554438829422	1	0	0	0	1	0	1	1	1	Hips LeftSkirt02 LeftSkirt03 LeftUpLeg LeftLeg LeftFoot LeftToe LeftSkirt01 ribbon04_L ribbon04_R RightSkirt02 RightSkirt03 RightUpLeg RightLeg RightFoot RightToe RightSkirt01 Spine Chest LeftBust LeftShoulder LeftArm LeftForeArm LeftHand LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 LeftHandRing1 LeftHandRing2 LeftHandRing3 LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 LeftLowerArmTwist01 LeftLowerArmTwist02 ribbon03_L Neck Head Eye.L Eye.R hair01_L hair01_R hair02_L hair02_R hair03_L hair03_R ribbon02_L ribbon02_R Tongue01 Tongue02 Tongue03 RightBust RightShoulder RightArm ribbon03_R RightForeArm RightHand RightHandIndex1 RightHandIndex2 RightHandIndex3 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 RightHandPinky1 RightHandPinky2 RightHandPinky3 RightHandRing1 RightHandRing2 RightHandRing3 RightHandThumb1 RightHandThumb2 RightHandThumb3 RightLowerArmTwist01 RightLowerArmTwist02 ribbon00_L ribbon00_R ribbon01_L ribbon01_R 		hips
LeftUpLeg	-0.07190431654453	-0.07190431654453	-0.07190431654453	1	0	0	0	1	0	1	1	1	-0.07190431654453	0.94465637207031	-0.03491055965424	1	0	0	0	1	0	1	1	1	-0.07190431654453	0.94465637207031	-0.03491055965424	1	0	0	0	1	0	1	1	1	Hips LeftSkirt02 LeftSkirt03 LeftUpLeg LeftLeg LeftFoot LeftToe LeftSkirt01 ribbon04_L ribbon04_R RightSkirt02 RightSkirt03 RightUpLeg RightLeg RightFoot RightToe RightSkirt01 Spine Chest LeftBust LeftShoulder LeftArm LeftForeArm LeftHand LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 LeftHandRing1 LeftHandRing2 LeftHandRing3 LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 LeftLowerArmTwist01 LeftLowerArmTwist02 ribbon03_L Neck Head Eye.L Eye.R hair01_L hair01_R hair02_L hair02_R hair03_L hair03_R ribbon02_L ribbon02_R Tongue01 Tongue02 Tongue03 RightBust RightShoulder RightArm ribbon03_R RightForeArm RightHand RightHandIndex1 RightHandIndex2 RightHandIndex3 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 RightHandPinky1 RightHandPinky2 RightHandPinky3 RightHandRing1 RightHandRing2 RightHandRing3 RightHandThumb1 RightHandThumb2 RightHandThumb3 RightLowerArmTwist01 RightLowerArmTwist02 ribbon00_L ribbon00_R ribbon01_L ribbon01_R 		leftUpperLeg
LeftLeg	0.01397512108088	0.01397512108088	0.01397512108088	1	0	0	0	1	0	1	1	1	-0.05792919546366	0.57072675228119	-0.02215421199799	1	0	0	0	1	0	1	1	1	-0.05792919546366	0.57072675228119	-0.02215421199799	1	0	0	0	1	0	1	1	1	Hips LeftSkirt02 LeftSkirt03 LeftUpLeg LeftLeg LeftFoot LeftToe LeftSkirt01 ribbon04_L ribbon04_R RightSkirt02 RightSkirt03 RightUpLeg RightLeg RightFoot RightToe RightSkirt01 Spine Chest LeftBust LeftShoulder LeftArm LeftForeArm LeftHand LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 LeftHandRing1 LeftHandRing2 LeftHandRing3 LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 LeftLowerArmTwist01 LeftLowerArmTwist02 ribbon03_L Neck Head Eye.L Eye.R hair01_L hair01_R hair02_L hair02_R hair03_L hair03_R ribbon02_L ribbon02_R Tongue01 Tongue02 Tongue03 RightBust RightShoulder RightArm ribbon03_R RightForeArm RightHand RightHandIndex1 RightHandIndex2 RightHandIndex3 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 RightHandPinky1 RightHandPinky2 RightHandPinky3 RightHandRing1 RightHandRing2 RightHandRing3 RightHandThumb1 RightHandThumb2 RightHandThumb3 RightLowerArmTwist01 RightLowerArmTwist02 ribbon00_L ribbon00_R ribbon01_L ribbon01_R 		leftLowerLeg
LeftFoot	0.00908768922091	0.00908768922091	0.00908768922091	1	0	0	0	1	0	1	1	1	-0.04884150624275	0.17025804519653	0.01310595870018	1	0	0	0	1	0	1	1	1	-0.04884150624275	0.17025804519653	0.01310595870018	1	0	0	0	1	0	1	1	1	Hips LeftSkirt02 LeftSkirt03 LeftUpLeg LeftLeg LeftFoot LeftToe LeftSkirt01 ribbon04_L ribbon04_R RightSkirt02 RightSkirt03 RightUpLeg RightLeg RightFoot RightToe RightSkirt01 Spine Chest LeftBust LeftShoulder LeftArm LeftForeArm LeftHand LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 LeftHandRing1 LeftHandRing2 LeftHandRing3 LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 LeftLowerArmTwist01 LeftLowerArmTwist02 ribbon03_L Neck Head Eye.L Eye.R hair01_L hair01_R hair02_L hair02_R hair03_L hair03_R ribbon02_L ribbon02_R Tongue01 Tongue02 Tongue03 RightBust RightShoulder RightArm ribbon03_R RightForeArm RightHand RightHandIndex1 RightHandIndex2 RightHandIndex3 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 RightHandPinky1 RightHandPinky2 RightHandPinky3 RightHandRing1 RightHandRing2 RightHandRing3 RightHandThumb1 RightHandThumb2 RightHandThumb3 RightLowerArmTwist01 RightLowerArmTwist02 ribbon00_L ribbon00_R ribbon01_L ribbon01_R 		leftFoot
LeftToe	0.01090604066849	0.01090604066849	0.01090604066849	1	0	0	0	1	0	1	1	1	-0.03793546557426	0.05646151304245	-0.03035001829267	1	0	0	0	1	0	1	1	1	-0.03793546557426	0.05646151304245	-0.03035001829267	1	0	0	0	1	0	1	1	1	Hips LeftSkirt02 LeftSkirt03 LeftUpLeg LeftLeg LeftFoot LeftToe LeftSkirt01 ribbon04_L ribbon04_R RightSkirt02 RightSkirt03 RightUpLeg RightLeg RightFoot RightToe RightSkirt01 Spine Chest LeftBust LeftShoulder LeftArm LeftForeArm LeftHand LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 LeftHandRing1 LeftHandRing2 LeftHandRing3 LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 LeftLowerArmTwist01 LeftLowerArmTwist02 ribbon03_L Neck Head Eye.L Eye.R hair01_L hair01_R hair02_L hair02_R hair03_L hair03_R ribbon02_L ribbon02_R Tongue01 Tongue02 Tongue03 RightBust RightShoulder RightArm ribbon03_R RightForeArm RightHand RightHandIndex1 RightHandIndex2 RightHandIndex3 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 RightHandPinky1 RightHandPinky2 RightHandPinky3 RightHandRing1 RightHandRing2 RightHandRing3 RightHandThumb1 RightHandThumb2 RightHandThumb3 RightLowerArmTwist01 RightLowerArmTwist02 ribbon00_L ribbon00_R ribbon01_L ribbon01_R 		leftToes
LeftSkirt01	-0.0187331289053	-0.0187331289053	-0.0187331289053	1	0	0	0	1	0	1	1	1	-0.09063744544983	0.98641562461853	-0.1053239107132	1	0	0	0	1	0	1	1	1	-0.09063744544983	0.98641562461853	-0.1053239107132	1	0	0	0	1	0	1	1	1	Hips LeftSkirt02 LeftSkirt03 LeftUpLeg LeftLeg LeftFoot LeftToe LeftSkirt01 ribbon04_L ribbon04_R RightSkirt02 RightSkirt03 RightUpLeg RightLeg RightFoot RightToe RightSkirt01 Spine Chest LeftBust LeftShoulder LeftArm LeftForeArm LeftHand LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 LeftHandRing1 LeftHandRing2 LeftHandRing3 LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 LeftLowerArmTwist01 LeftLowerArmTwist02 ribbon03_L Neck Head Eye.L Eye.R hair01_L hair01_R hair02_L hair02_R hair03_L hair03_R ribbon02_L ribbon02_R Tongue01 Tongue02 Tongue03 RightBust RightShoulder RightArm ribbon03_R RightForeArm RightHand RightHandIndex1 RightHandIndex2 RightHandIndex3 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 RightHandPinky1 RightHandPinky2 RightHandPinky3 RightHandRing1 RightHandRing2 RightHandRing3 RightHandThumb1 RightHandThumb2 RightHandThumb3 RightLowerArmTwist01 RightLowerArmTwist02 ribbon00_L ribbon00_R ribbon01_L ribbon01_R 		leftToes
ribbon04_L	-0.04841035231948	-0.04841035231948	-0.04841035231948	1	0	0	0	1	0	1	1	1	-0.04841035231948	1.08565700054169	-0.00667631626129	1	0	0	0	1	0	1	1	1	-0.04841035231948	1.08565700054169	-0.00667631626129	1	0	0	0	1	0	1	1	1	Hips LeftSkirt02 LeftSkirt03 LeftUpLeg LeftLeg LeftFoot LeftToe LeftSkirt01 ribbon04_L ribbon04_R RightSkirt02 RightSkirt03 RightUpLeg RightLeg RightFoot RightToe RightSkirt01 Spine Chest LeftBust LeftShoulder LeftArm LeftForeArm LeftHand LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 LeftHandRing1 LeftHandRing2 LeftHandRing3 LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 LeftLowerArmTwist01 LeftLowerArmTwist02 ribbon03_L Neck Head Eye.L Eye.R hair01_L hair01_R hair02_L hair02_R hair03_L hair03_R ribbon02_L ribbon02_R Tongue01 Tongue02 Tongue03 RightBust RightShoulder RightArm ribbon03_R RightForeArm RightHand RightHandIndex1 RightHandIndex2 RightHandIndex3 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 RightHandPinky1 RightHandPinky2 RightHandPinky3 RightHandRing1 RightHandRing2 RightHandRing3 RightHandThumb1 RightHandThumb2 RightHandThumb3 RightLowerArmTwist01 RightLowerArmTwist02 ribbon00_L ribbon00_R ribbon01_L ribbon01_R 		leftToes
ribbon04_R	0.04841035231948	0.04841035231948	0.04841035231948	1	0	0	0	1	0	1	1	1	0.04841035231948	1.08565700054169	-0.00667631626129	1	0	0	0	1	0	1	1	1	0.04841035231948	1.08565700054169	-0.00667631626129	1	0	0	0	1	0	1	1	1	Hips LeftSkirt02 LeftSkirt03 LeftUpLeg LeftLeg LeftFoot LeftToe LeftSkirt01 ribbon04_L ribbon04_R RightSkirt02 RightSkirt03 RightUpLeg RightLeg RightFoot RightToe RightSkirt01 Spine Chest LeftBust LeftShoulder LeftArm LeftForeArm LeftHand LeftHandIndex1 LeftHandIndex2 LeftHandIndex3 LeftHandMiddle1 LeftHandMiddle2 LeftHandMiddle3 LeftHandPinky1 LeftHandPinky2 LeftHandPinky3 LeftHandRing1 LeftHandRing2 LeftHandRing3 LeftHandThumb1 LeftHandThumb2 LeftHandThumb3 LeftLowerArmTwist01 LeftLowerArmTwist02 ribbon03_L Neck Head Eye.L Eye.R hair01_L hair01_R hair02_L hair02_R hair03_L hair03_R ribbon02_L ribbon02_R Tongue01 Tongue02 Tongue03 RightBust RightShoulder RightArm ribbon03_R RightForeArm RightHand RightHandIndex1 RightHandIndex2 RightHandIndex3 RightHandMiddle1 RightHandMiddle2 RightHandMiddle3 RightHandPinky1 RightHandPinky2 RightHandPinky3 RightHandRing1 RightHandRing2 RightHandRing3 RightHandThumb1 RightHandThumb2 RightHandThumb3 RightLowerArmTwist01 RightLowerArmTwist02 ribbon00_L ribbon00_R ribbon01_L ribbon01_R 		leftToes
